"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"2492","LEFE","LEFE","National_SciName","Brassicaceae","Physaria fendleri (A. Gray) O'Kane & Al-Shehbaz","Physaria fendleri","Physaria","fendleri",NA,"8",8,"Native","Ackerfield 2015","Lesquerella fendleri","Physaria fendleri","Perennial"
"2493","PHFL3","PHFL3","FQA_SciName","Brassicaceae","Physaria floribunda Rydb.","Physaria floribunda","Physaria","floribunda",NA,"6",6,"Native","Ackerfield 2015","Physaria floribunda","Physaria floribunda","Perennial"
"2494","PHFLO2","PHFLO2","FQA_SciName","Brassicaceae","Physaria floribunda Rydb. var. osterhoutii (Payson) Rollins","Physaria floribunda var. osterhoutii","Physaria","floribunda","var. osterhoutii","Not Assigned",NA,"Native","USDA PLANTS","Physaria floribunda var. osterhoutii",NA,"Perennial"
"2495","LELU","LELU","National_SciName","Brassicaceae","Physaria ludoviciana (Nutt.) O'Kane & Al-Shehbaz","Physaria ludoviciana","Physaria","ludoviciana",NA,"6",6,"Native","Ackerfield 2015","Lesquerella ludoviciana","Physaria ludoviciana","Perennial"
"2496","LEMO3","LEMO3","National_SciName","Brassicaceae","Physaria montana (A. Gray) Greene","Physaria montana","Physaria","montana",NA,"5",5,"Native","Ackerfield 2015","Lesquerella montana","Physaria montana","Perennial"
"2497","PHOB","PHOB","FQA_SciName","Brassicaceae","Physaria obcordata Rollins","Physaria obcordata","Physaria","obcordata",NA,"6",6,"Native","Ackerfield 2015","Physaria obcordata","Physaria obcordata","Perennial"
"2498","LEOV","LEOV","National_SciName","Brassicaceae","Physaria ovalifolia (Rydb.) O'Kane & Al-Shehbaz","Physaria ovalifolia","Physaria","ovalifolia",NA,"8",8,"Native","Ackerfield 2015","Lesquerella ovalifolia","Physaria ovalifolia","Perennial"
"2499","LEPA10","LEPA10","National_SciName","Brassicaceae","Physaria parviflora (Rollins) O'Kane & Al-Shehbaz","Physaria parviflora","Physaria","parviflora",NA,"7",7,"Native","Ackerfield 2015","Lesquerella parviflora","Physaria parviflora","Perennial"
"2500","LEPA7","LEPA7","National_SciName","Brassicaceae","Physaria parvula (Greene) O'Kane & Al-Shehbaz","Physaria parvula","Physaria","parvula",NA,"9",9,"Native","Ackerfield 2015","Lesquerella parvula","Physaria parvula","Perennial"
"2501","LEPR2","LEPR2","National_SciName","Brassicaceae","Physaria pruinosa (Greene) O'Kane & Al-Shehbaz","Physaria pruinosa","Physaria","pruinosa",NA,"7",7,"Native","Ackerfield 2015","Lesquerella pruinosa","Physaria pruinosa","Perennial"
"2502",NA,"ZZ_PHPU50","FQA_SciName InventedSymbol - Not in PLANTS","Brassicaceae","Physaria pulvinata O'Kane & Reveal","Physaria pulvinata","Physaria","pulvinata",NA,"6",6,"Native","Ackerfield 2015",NA,"Physaria pulvinata","Perennial"
"2503","PHRE9","PHRE9","FQA_SciName","Brassicaceae","Physaria rectipes (Wooton & Standl) O'Kane & Al-Shehbaz","Physaria rectipes","Physaria","rectipes",NA,"6",6,"Native","Ackerfield 2015","Physaria rectipes","Physaria rectipes","Perennial"
"2504","PHRE8","PHRE8","FQA_SciName","Brassicaceae","Physaria reediana O'Kane & Al-Shehbaz","Physaria reediana","Physaria","reediana",NA,"8",8,"Native","Ackerfield 2015","Physaria reediana","Physaria reediana","Perennial"
"2505","PHRO4","PHRO4","FQA_SciName","Brassicaceae","Physaria rollinsii G. Mulligan","Physaria rollinsii","Physaria","rollinsii",NA,"7",7,"Native","Ackerfield 2015","Physaria rollinsii","Physaria rollinsii","Perennial"
"2506","PHSC","PHSC","FQA_SciName","Brassicaceae","Physaria scrotiformis O'Kane","Physaria scrotiformis","Physaria","scrotiformis",NA,"8",8,"Native","Ackerfield 2015","Physaria scrotiformis","Physaria scrotiformis","Perennial"
"2507","LESU","LESU","National_SciName","Brassicaceae","Physaria subumbellata (Rollins) O'Kane & Al-Shehbaz","Physaria subumbellata","Physaria","subumbellata",NA,"7",7,"Native","Ackerfield 2015","Lesquerella subumbellata","Physaria subumbellata","Perennial"
"2508","LEVI22","LEVI22","National_SciName","Brassicaceae","Physaria vicina (J. Anderson, Reveal & Rollins) O'Kane & Al-Shehbaz","Physaria vicina","Physaria","vicina",NA,"6",6,"Native","Ackerfield 2015","Lesquerella vicina","Physaria vicina","Perennial"
"2509","PHVI7","PHVI7","FQA_SciName","Brassicaceae","Physaria vitulifera Rydb.","Physaria vitulifera","Physaria","vitulifera",NA,"6",6,"Native","Ackerfield 2015","Physaria vitulifera","Physaria vitulifera","Perennial"
"2510",NA,"ZZ_PHVI50","FQA_SciName InventedSymbol - Not in PLANTS","Brassicaceae","Physaria vitulifera x P. bellii","Physaria vitulifera x P. bellii","Physaria","vitulifera","x P. bellii","6",6,"Native","CNHP Biotics",NA,NA,"Perennial"
"2511","PHAL7","PHAL7","FQA_SciName","Rosaceae","Physocarpus alternans (M.E. Jones) J.T. Howell","Physocarpus alternans","Physocarpus","alternans",NA,"10",10,"Native","Ackerfield 2015","Physocarpus alternans","Physocarpus alternans","Perennial"
"2512","PHMO4","PHMO4","FQA_SciName","Rosaceae","Physocarpus monogynus (Torr.) J.M. Coult.","Physocarpus monogynus","Physocarpus","monogynus",NA,"7",7,"Native","Ackerfield 2015","Physocarpus monogynus","Physocarpus monogynus","Perennial"
"2513","PHOP","PHOP","FQA_SciName","Rosaceae","Physocarpus opulifolius (L.) Maxim., orth. cons.","Physocarpus opulifolius","Physocarpus","opulifolius",NA,"8",8,"Native","USDA PLANTS","Physocarpus opulifolius",NA,"Perennial"
"2514","PIENE","PIENE","FQA_SciName","Pinaceae","Picea engelmannii Parry ex Engelm. var. engelmannii","Picea engelmannii var. engelmannii","Picea","engelmannii","var. engelmannii","5",5,"Native","Ackerfield 2015","Picea engelmannii var. engelmannii","Picea engelmannii var. engelmannii","Perennial"
"2515","PIPU","PIPU","FQA_SciName","Pinaceae","Picea pungens Engelm.","Picea pungens","Picea","pungens",NA,"6",6,"Native","Ackerfield 2015","Picea pungens","Picea pungens","Perennial"
"2516","PIOP","PIOP","FQA_SciName","Asteraceae","Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton","Picradeniopsis oppositifolia","Picradeniopsis","oppositifolia",NA,"2",2,"Native","Ackerfield 2015","Picradeniopsis oppositifolia","Picradeniopsis oppositifolia","Perennial"
"2517","PIWO","PIWO","FQA_SciName","Asteraceae","Picradeniopsis woodhousei (A. Gray) Rydb.","Picradeniopsis woodhousei","Picradeniopsis","woodhousei",NA,"4",4,"Native","Ackerfield 2015","Picradeniopsis woodhousei","Picradeniopsis woodhousei","Perennial"
"2518","PIAR","PIAR","FQA_SciName","Pinaceae","Pinus aristata Engelm.","Pinus aristata","Pinus","aristata",NA,"9",9,"Native","Ackerfield 2015","Pinus aristata","Pinus aristata","Perennial"
"2519","PICOL","PICOL","FQA_SciName","Pinaceae","Pinus contorta Douglas ex Louden var. latifolia Engelm. ex S. Watson","Pinus contorta var. latifolia","Pinus","contorta","var. latifolia","5",5,"Native","Ackerfield 2015","Pinus contorta var. latifolia","Pinus contorta var. latifolia","Perennial"
"2520","PIED","PIED","FQA_SciName","Pinaceae","Pinus edulis Engelm.","Pinus edulis","Pinus","edulis",NA,"6",6,"Native","Ackerfield 2015","Pinus edulis","Pinus edulis","Perennial"
"2521","PIFL2","PIFL2","FQA_SciName","Pinaceae","Pinus flexilis James","Pinus flexilis","Pinus","flexilis",NA,"7",7,"Native","Ackerfield 2015","Pinus flexilis","Pinus flexilis","Perennial"
"2522","PIPOS","PIPOS","FQA_SciName","Pinaceae","Pinus ponderosa C. Lawson var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","Pinus","ponderosa","var. scopulorum","5",5,"Native","Ackerfield 2015","Pinus ponderosa var. scopulorum","Pinus ponderosa var. scopulorum","Perennial"
"2523","PIST3","PIST3","FQA_SciName","Pinaceae","Pinus strobiformis Engelm.","Pinus strobiformis","Pinus","strobiformis",NA,"7",7,"Native","Ackerfield 2015","Pinus strobiformis","Pinus strobiformis","Perennial"
"2524","PIUN3","PIUN3","FQA_SciName","Orchidaceae","Piperia unalascensis (Spreng.) Rydb.","Piperia unalascensis","Piperia","unalascensis",NA,"10",10,"Native","Ackerfield 2015","Piperia unalascensis","Piperia unalascensis","Perennial"
"2525","PIEX3","PIEX3","FQA_SciName","Poaceae","Piptatherum exiguum (Thurb.) Dorn","Piptatherum exiguum","Piptatherum","exiguum",NA,"8",8,"Native","Ackerfield 2015","Piptatherum exiguum","Piptatherum exiguum","Perennial"
"2526","PIMI7","PIMI7","FQA_SciName","Poaceae","Piptatherum micranthum (Trin. & Rupr.) Barkworth","Piptatherum micranthum","Piptatherum","micranthum",NA,"7",7,"Native","Ackerfield 2015","Piptatherum micranthum","Piptatherum micranthum","Perennial"
"2527","PIPU7","PIPU7","FQA_SciName","Poaceae","Piptatherum pungens (Torr. ex Spreng.) Dorn","Piptatherum pungens","Piptatherum","pungens",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Piptatherum pungens","Piptatherum pungens","Perennial"
"2528","PIST2","PIST2","FQA_SciName","Araceae","Pistia stratiotes L.","Pistia stratiotes","Pistia","stratiotes",NA,"0",0,"Non-native","Ackerfield 2015","Pistia stratiotes","Pistia stratiotes","Perennial"
"2529","PLSCH","PLSCH","FQA_SciName","Boraginaceae","Plagiobothrys scouleri (Hook. & Arn.) I.M. Johnst. var. hispidulus (Greene) Dorn","Plagiobothrys scouleri var. hispidulus","Plagiobothrys","scouleri","var. hispidulus","3",3,"Native","Ackerfield 2015","Plagiobothrys scouleri var. hispidulus","Plagiobothrys scouleri var. hispidulus","Annual"
"2530","PLEL","PLEL","FQA_SciName","Plantaginaceae","Plantago elongata Pursh","Plantago elongata","Plantago","elongata",NA,"5",5,"Native","Ackerfield 2015","Plantago elongata","Plantago elongata","Annual"
"2531","PLER","PLER","FQA_SciName","Plantaginaceae","Plantago eriopoda Torr.","Plantago eriopoda","Plantago","eriopoda",NA,"5",5,"Native","Ackerfield 2015","Plantago eriopoda","Plantago eriopoda","Perennial"
"2532","PLLA","PLLA","FQA_SciName","Plantaginaceae","Plantago lanceolata L.","Plantago lanceolata","Plantago","lanceolata",NA,"0",0,"Non-native","Ackerfield 2015","Plantago lanceolata","Plantago lanceolata","Annual, Biennial, Perennial"
"2533","PLMA2","PLMA2","FQA_SciName","Plantaginaceae","Plantago major L.","Plantago major","Plantago","major",NA,"0",0,"Non-native","Ackerfield 2015","Plantago major","Plantago major","Perennial"
"2534","PLPA2","PLPA2","FQA_SciName","Plantaginaceae","Plantago patagonica Jacq.","Plantago patagonica","Plantago","patagonica",NA,"2",2,"Native","Ackerfield 2015","Plantago patagonica","Plantago patagonica","Annual"
"2535","PLTW","PLTW","FQA_SciName","Plantaginaceae","Plantago tweedyi A. Gray","Plantago tweedyi","Plantago","tweedyi",NA,"5",5,"Native","Ackerfield 2015","Plantago tweedyi","Plantago tweedyi","Perennial"
"2536","PLAQ2","PLAQ2","FQA_SciName","Orchidaceae","Platanthera aquilonis Sheviak","Platanthera aquilonis","Platanthera","aquilonis",NA,"7",7,"Native","Ackerfield 2015","Platanthera aquilonis","Platanthera aquilonis","Perennial"
"2537","PLDI3","PLDI3","FQA_SciName","Orchidaceae","Platanthera dilatata (Pursh) Lindl. ex Beck","Platanthera dilatata","Platanthera","dilatata",NA,"8",8,"Native","Ackerfield 2015","Platanthera dilatata","Platanthera dilatata","Perennial"
"2538","PLDIA","PLDIA","FQA_SciName","Orchidaceae","Platanthera dilatata (Pursh) Lindl. ex Beck var. albiflora (Cham.) Ledeb.","Platanthera dilatata var. albiflora","Platanthera","dilatata","var. albiflora","8",8,"Native","Ackerfield 2015","Platanthera dilatata var. albiflora","Platanthera dilatata var. albiflora","Perennial"
"2539","PLDID","PLDID","FQA_SciName","Orchidaceae","Platanthera dilatata (Pursh) Lindl. ex Beck var. dilatata","Platanthera dilatata var. dilatata","Platanthera","dilatata","var. dilatata","8",8,"Native","Ackerfield 2015","Platanthera dilatata var. dilatata","Platanthera dilatata var. dilatata","Perennial"
"2540","PLHU2","PLHU2","FQA_SciName","Orchidaceae","Platanthera huronensis (Nutt.) Lindl.","Platanthera huronensis","Platanthera","huronensis",NA,"7",7,"Native","Ackerfield 2015","Platanthera huronensis","Platanthera huronensis","Perennial"
"2541","PLOB","PLOB","FQA_SciName","Orchidaceae","Platanthera obtusata (Banks ex Pursh) Lindl.","Platanthera obtusata","Platanthera","obtusata",NA,"10",10,"Native","Ackerfield 2015","Platanthera obtusata","Platanthera obtusata","Perennial"
"2542","PLPU7","PLPU7","FQA_SciName","Orchidaceae","Platanthera purpurascens (Rydb.) Sheviak & Jennings","Platanthera purpurascens","Platanthera","purpurascens",NA,"8",8,"Native","Ackerfield 2015","Platanthera purpurascens","Platanthera purpurascens","Perennial"
"2543","PLTE5","PLTE5","FQA_SciName","Orchidaceae","Platanthera tescamnis Sheviak & W.F. Jenn.","Platanthera tescamnis","Platanthera","tescamnis",NA,"9",9,"Native","Ackerfield 2015","Platanthera tescamnis","Platanthera tescamnis","Perennial"
"2544","PLZO","PLZO","FQA_SciName","Orchidaceae","Platanthera zothecina (Higgins & S.L. Welsh) Kartesz & Gandhi","Platanthera zothecina","Platanthera","zothecina",NA,"10",10,"Native","Ackerfield 2015","Platanthera zothecina","Platanthera zothecina","Perennial"
"2545","PLIN7","PLIN7","FQA_SciName","Asteraceae","Platyschkuhria integrifolia (A. Gray) Rydb.","Platyschkuhria integrifolia","Platyschkuhria","integrifolia",NA,"6",6,"Native","Ackerfield 2015","Platyschkuhria integrifolia","Platyschkuhria integrifolia","Perennial"
"2546","PLIND","PLIND","FQA_SciName","Asteraceae","Platyschkuhria integrifolia (A. Gray) Rydb. var. desertorum (M.E. Jones) W. Ellison","Platyschkuhria integrifolia var. desertorum","Platyschkuhria","integrifolia","var. desertorum","5",5,"Native","Ackerfield 2015","Platyschkuhria integrifolia var. desertorum","Platyschkuhria integrifolia var. desertorum","Perennial"
"2547","PLINO","PLINO","FQA_SciName","Asteraceae","Platyschkuhria integrifolia (A. Gray) Rydb. var. oblongifolia (A. Gray) W. Ellison","Platyschkuhria integrifolia var. oblongifolia","Platyschkuhria","integrifolia","var. oblongifolia","6",6,"Native","Ackerfield 2015","Platyschkuhria integrifolia var. oblongifolia","Platyschkuhria integrifolia var. oblongifolia","Perennial"
"2548","POABP","POABP","FQA_SciName","Poaceae","Poa abbreviata R. Br. ssp. pattersonii (Vasey) A. Löve & D. Löve & Kapoor","Poa abbreviata ssp. pattersonii","Poa","abbreviata","ssp. pattersonii","4",4,"Native","Ackerfield 2015","Poa abbreviata ssp. pattersonii","Poa abbreviata ssp. pattersonii","Perennial"
"2549","POAL2","POAL2","FQA_SciName","Poaceae","Poa alpina L.","Poa alpina","Poa","alpina",NA,"7",7,"Native","Ackerfield 2015","Poa alpina","Poa alpina","Perennial"
"2550","POAN","POAN","FQA_SciName","Poaceae","Poa annua L.","Poa annua","Poa","annua",NA,"0",0,"Non-native","Ackerfield 2015","Poa annua","Poa annua","Annual"
"2551","POAR2","POAR2","FQA_SciName","Poaceae","Poa arctica R. Br.","Poa arctica","Poa","arctica",NA,"7",7,"Native","Ackerfield 2015","Poa arctica","Poa arctica","Perennial"
"2552","POARA","POARA","FQA_SciName","Poaceae","Poa arctica R. Br. ssp. aperta (Scribn. & Merr.) Soreng","Poa arctica ssp. aperta","Poa","arctica","ssp. aperta","7",7,"Native","Ackerfield 2015","Poa arctica ssp. aperta","Poa arctica ssp. aperta","Perennial"
"2553","POARG","POARG","FQA_SciName","Poaceae","Poa arctica R. Br. ssp. grayana (Vasey) A. Löve & D. Löve & Kapoor","Poa arctica ssp. grayana","Poa","arctica","ssp. grayana","7",7,"Native","Ackerfield 2015","Poa arctica ssp. grayana","Poa arctica ssp. grayana","Perennial"
"2554","POAR3","POAR3","FQA_SciName","Poaceae","Poa arida Vasey","Poa arida","Poa","arida",NA,"5",5,"Native","Ackerfield 2015","Poa arida","Poa arida","Perennial"
"2555","POBI","POBI","FQA_SciName","Poaceae","Poa bigelovii Vasey & Scribn.","Poa bigelovii","Poa","bigelovii",NA,"6",6,"Native","Ackerfield 2015","Poa bigelovii","Poa bigelovii","Annual"
"2556","POBU","POBU","FQA_SciName","Poaceae","Poa bulbosa L.","Poa bulbosa","Poa","bulbosa",NA,"0",0,"Non-native","Ackerfield 2015","Poa bulbosa","Poa bulbosa","Perennial"
"2557","POCO","POCO","FQA_SciName","Poaceae","Poa compressa L.","Poa compressa","Poa","compressa",NA,"0",0,"Non-native","Ackerfield 2015","Poa compressa","Poa compressa","Perennial"
"2558","POCU3","POCU3","FQA_SciName","Poaceae","Poa cusickii Vasey","Poa cusickii","Poa","cusickii",NA,"7",7,"Native","Ackerfield 2015","Poa cusickii","Poa cusickii","Perennial"
"2559","POCUE2","POCUE2","FQA_SciName","Poaceae","Poa cusickii Vasey ssp. epilis (Scribn.) W.A. Weber","Poa cusickii ssp. epilis","Poa","cusickii","ssp. epilis","7",7,"Native","Ackerfield 2015","Poa cusickii ssp. epilis","Poa cusickii ssp. epilis","Perennial"
"2560","POCUP3","POCUP3","FQA_SciName","Poaceae","Poa cusickii Vasey ssp. pallida Soreng","Poa cusickii ssp. pallida","Poa","cusickii","ssp. pallida","6",6,"Native","Ackerfield 2015","Poa cusickii ssp. pallida","Poa cusickii ssp. pallida","Perennial"
"2561","POFE","POFE","FQA_SciName","Poaceae","Poa fendleriana (Steud.) Vasey","Poa fendleriana","Poa","fendleriana",NA,"5",5,"Native","Ackerfield 2015","Poa fendleriana","Poa fendleriana","Perennial"
"2562","POFEF","POFEF","FQA_SciName","Poaceae","Poa fendleriana (Steud.) Vasey ssp. fendleriana","Poa fendleriana ssp. fendleriana","Poa","fendleriana","ssp. fendleriana","5",5,"Native","Ackerfield 2015","Poa fendleriana ssp. fendleriana","Poa fendleriana ssp. fendleriana","Perennial"
"2563","POFEL","POFEL","FQA_SciName","Poaceae","Poa fendleriana (Steud.) Vasey ssp. longiligula (Scribn. & T.A. Williams) Soreng","Poa fendleriana ssp. longiligula","Poa","fendleriana","ssp. longiligula","7",7,"Native","Ackerfield 2015","Poa fendleriana ssp. longiligula","Poa fendleriana ssp. longiligula","Perennial"
"2564","POGL","POGL","FQA_SciName","Poaceae","Poa glauca Vahl","Poa glauca","Poa","glauca",NA,"7",7,"Native","Ackerfield 2015","Poa glauca","Poa glauca","Perennial"
"2565","POGLG","POGLG","FQA_SciName","Poaceae","Poa glauca Vahl ssp. glauca","Poa glauca ssp. glauca","Poa","glauca","ssp. glauca","7",7,"Native","Ackerfield 2015","Poa glauca ssp. glauca","Poa glauca ssp. glauca","Perennial"
"2566","POGLR2","POGLR2","FQA_SciName","Poaceae","Poa glauca Vahl ssp. rupicola (Nash ex Rydb.) W.A. Weber","Poa glauca ssp. rupicola","Poa","glauca","ssp. rupicola","7",7,"Native","Ackerfield 2015","Poa glauca ssp. rupicola","Poa glauca ssp. rupicola","Perennial"
"2567","PONEI2","POIN","FQA_SciName","Poaceae","Poa interior Rydb.","Poa interior","Poa","interior",NA,"6",6,"Native","Ackerfield 2015","Poa nemoralis ssp. interior","Poa interior","Perennial"
"2568","POLE2","POLE2","FQA_SciName","Poaceae","Poa leptocoma Trin.","Poa leptocoma","Poa","leptocoma",NA,"8",8,"Native","Ackerfield 2015","Poa leptocoma","Poa leptocoma","Perennial"
"2569","POLE3","POLE3","FQA_SciName","Poaceae","Poa lettermanii Vasey","Poa lettermanii","Poa","lettermanii",NA,"8",8,"Native","Ackerfield 2015","Poa lettermanii","Poa lettermanii","Perennial"
"2570","POOC","POOC","FQA_SciName","Poaceae","Poa occidentalis Vasey","Poa occidentalis","Poa","occidentalis",NA,"6",6,"Native","Ackerfield 2015","Poa occidentalis","Poa occidentalis","Perennial"
"2571","POPA2","POPA2","FQA_SciName","Poaceae","Poa palustris L.","Poa palustris","Poa","palustris",NA,"6",6,"Native","Ackerfield 2015","Poa palustris","Poa palustris","Perennial"
"2572","POPR","POPR","FQA_SciName","Poaceae","Poa pratensis L.","Poa pratensis","Poa","pratensis",NA,"0",0,"Non-native","Ackerfield 2015","Poa pratensis","Poa pratensis","Perennial"
